,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
19,Ghost,Justin Bieber,0.604,0.741,2.0,-5.571,1.0,0.0475,0.178,3.49e-05,0.409,0.473,153.947,spotify:track:5dPz35akJjPqb17yeqNwqH,153190.0,4.0
20,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,spotify:track:6f5ExP43esnvdKPddwKXJH,160657.0,4.0
21,Better Days (NEIKED x Mae Muller x Polo G),Mae Muller,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,spotify:track:6f5ExP43esnvdKPddwKXJH,160657.0,4.0
22,Better Days (NEIKED x Mae Muller x Polo G),Polo G,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,spotify:track:6f5ExP43esnvdKPddwKXJH,160657.0,4.0
23,Can I Get It,Adele,0.703,0.68,9.0,-6.118,0.0,0.0431,0.0171,0.0,0.178,0.536,97.985,spotify:track:6w8ZPYdnGajyfPddTWdthN,210384.0,4.0
24,abcdefu,GAYLE,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,spotify:track:4fouWK6XVHhzl78KzQ1UjL,168602.0,4.0
25,LA FAMA (with The Weeknd),ROSALÍA,0.77,0.302,0.0,-7.911,0.0,0.0466,0.946,3.38e-05,0.125,0.821,136.01,spotify:track:6dmXZ9B5HdFAyzHeTneYBK,188103.0,4.0
26,LA FAMA (with The Weeknd),The Weeknd,0.77,0.302,0.0,-7.911,0.0,0.0466,0.946,3.38e-05,0.125,0.821,136.01,spotify:track:6dmXZ9B5HdFAyzHeTneYBK,188103.0,4.0
27,THATS WHAT I WANT,Lil Nas X,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,143901.0,4.0
28,GHOST TOWN,Benson Boone,0.391,0.335,0.0,-10.064,1.0,0.0763,0.389,0.0,0.102,0.116,174.185,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,193733.0,3.0
29,Bad Habits,Ed Sheeran,0.808,0.897,11.0,-3.712,0.0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,spotify:track:6PQ88X9TkUIAUIZJHW2upE,231041.0,4.0
30,MONEY,LISA,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,spotify:track:7hU3IHwjX150XLoTVmjD0q,168228.0,4.0
31,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,0.859,0.525,1.0,-8.051,0.0,0.0592,0.434,2.34e-05,0.108,0.312,110.066,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,204764.0,4.0
32,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Kali Uchis,0.859,0.525,1.0,-8.051,0.0,0.0592,0.434,2.34e-05,0.108,0.312,110.066,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,204764.0,4.0
33,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Moliy,0.859,0.525,1.0,-8.051,0.0,0.0592,0.434,2.34e-05,0.108,0.312,110.066,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,204764.0,4.0
34,Moth To A Flame (with The Weeknd),Swedish House Mafia,0.542,0.659,8.0,-7.289,1.0,0.0389,0.00279,0.0,0.105,0.109,120.122,spotify:track:2gpWyfu7eZ01zzncHpxOtA,234000.0,4.0
35,Moth To A Flame (with The Weeknd),The Weeknd,0.542,0.659,8.0,-7.289,1.0,0.0389,0.00279,0.0,0.105,0.109,120.122,spotify:track:2gpWyfu7eZ01zzncHpxOtA,234000.0,4.0
36,Where Are You Now,Lost Frequencies,0.671,0.636,6.0,-8.117,0.0,0.103,0.515,0.000411,0.172,0.262,120.966,spotify:track:3uUuGVFu1V7jTQL60S1r8z,148197.0,4.0
37,Where Are You Now,Calum Scott,0.671,0.636,6.0,-8.117,0.0,0.103,0.515,0.000411,0.172,0.262,120.966,spotify:track:3uUuGVFu1V7jTQL60S1r8z,148197.0,4.0
38,My Universe,Coldplay,0.588,0.701,9.0,-6.39,1.0,0.0402,0.00813,0.0,0.2,0.443,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,228000.0,4.0
39,My Universe,BTS,0.588,0.701,9.0,-6.39,1.0,0.0402,0.00813,0.0,0.2,0.443,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,228000.0,4.0
40,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0
41,Enemy (with JID) - from the series Arcane League of Legends,JID,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0
42,Enemy (with JID) - from the series Arcane League of Legends,Arcane,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0
43,Enemy (with JID) - from the series Arcane League of Legends,League of Legends,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0
44,Happier Than Ever - Edit,Billie Eilish,0.334,0.599,0.0,-5.742,1.0,0.0365,0.0468,0.000392,0.205,0.127,161.74,spotify:track:32BeYxKPrig1LefHsC0Xuo,151444.0,3.0
45,feel like shit,Tate McRae,0.508,0.378,7.0,-7.158,1.0,0.0473,0.516,0.0,0.119,0.161,144.962,spotify:track:2EBnvom1dTybtm75a3Xh1T,204315.0,4.0
46,Need to Know,Doja Cat,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,210560.0,4.0
47,Already Dead,Juice WRLD,0.74,0.501,1.0,-6.339,1.0,0.0592,0.019,0.0,0.114,0.119,83.5,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,231011.0,4.0
48,Pepas,Farruko,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,287120.0,4.0
49,Do It To It,ACRAZE,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,spotify:track:20on25jryn53hWghthWWW3,157890.0,4.0
50,Do It To It,Cherish,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,spotify:track:20on25jryn53hWghthWWW3,157890.0,4.0
51,Life Goes On,Oliver Tree,0.7,0.49,0.0,-5.187,1.0,0.076,0.186,0.0,0.117,0.569,79.982,spotify:track:0eu4C55hL6x29mmeAjytzC,161803.0,4.0
52,good 4 u,Olivia Rodrigo,0.556,0.661,6.0,-5.052,0.0,0.204,0.3,0.0,0.101,0.668,168.56,spotify:track:6PERP62TejQjgHu81OHxgM,178148.0,4.0
53,Overpass Graffiti,Ed Sheeran,0.52,0.849,9.0,-3.794,0.0,0.186,0.00253,0.0,0.119,0.774,175.908,spotify:track:4btFHqumCO31GksfuBLLv3,236907.0,4.0
54,No Love (with SZA),Summer Walker,0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,spotify:track:08SB2OtZkaliju77WYEKxk,231498.0,4.0
55,No Love (with SZA),SZA,0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,spotify:track:08SB2OtZkaliju77WYEKxk,231498.0,4.0
56,Don't Be Shy,Tiësto,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,140500.0,4.0
57,Don't Be Shy,KAROL G,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,140500.0,4.0
58,MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.818,spotify:track:3BZEcbdtXQSo7OrvKRJ6mb,137876.0,4.0
59,Toxic,BoyWithUke,0.594,0.612,8.0,-6.627,0.0,0.363,0.835,0.0,0.461,0.687,179.629,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,168020.0,4.0
60,Meet Me At Our Spot,THE ANXIETY,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,spotify:track:07MDkzWARZaLEdKxo6yArG,162680.0,4.0
61,Meet Me At Our Spot,WILLOW,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,spotify:track:07MDkzWARZaLEdKxo6yArG,162680.0,4.0
62,Meet Me At Our Spot,Tyler Cole,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,spotify:track:07MDkzWARZaLEdKxo6yArG,162680.0,4.0
63,Beggin',Måneskin,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,spotify:track:3Wrjm47oTz2sjIgck11l5e,211560.0,4.0
64,ESCAPE PLAN,Travis Scott,0.839,0.506,5.0,-6.714,0.0,0.133,0.00207,0.0,0.13,0.44,154.12,spotify:track:4R67rQNSbbsR4TdUVOIdez,149610.0,4.0
65,Kiss Me More (feat. SZA),Doja Cat,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,0.000158,0.123,0.742,110.968,spotify:track:748mdHapucXQri7IAO8yFK,208867.0,4.0
66,Kiss Me More (feat. SZA),SZA,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,0.000158,0.123,0.742,110.968,spotify:track:748mdHapucXQri7IAO8yFK,208867.0,4.0
67,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,0.00747,0.0374,0.796,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0
68,OUT OUT (feat. Charli XCX & Saweetie),Jax Jones,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,0.00747,0.0374,0.796,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0
69,OUT OUT (feat. Charli XCX & Saweetie),Charli XCX,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,0.00747,0.0374,0.796,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0
70,OUT OUT (feat. Charli XCX & Saweetie),Saweetie,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,0.00747,0.0374,0.796,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0
71,traitor,Olivia Rodrigo,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,spotify:track:5CZ40GBx1sQ9agT82CLQCT,229227.0,4.0
72,Acapulco,Jason Derulo,0.774,0.792,10.0,-4.021,1.0,0.0523,0.051,0.0,0.155,0.507,122.062,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,139672.0,4.0
73,Praise God,Kanye West,0.798,0.545,1.0,-6.466,1.0,0.168,0.00904,9.48e-05,0.258,0.212,118.029,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,226653.0,4.0
74,2055,Sleepy Hallow,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.0,0.12,0.638,80.511,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,123987.0,4.0
75,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,0.8,0.837,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0
76,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",Ozuna,0.8,0.837,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0
77,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",Megan Thee Stallion,0.8,0.837,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0
78,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",LISA,0.8,0.837,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0
79,Way 2 Sexy (with Future & Young Thug),Drake,0.803,0.597,11.0,-6.035,0.0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0
80,Way 2 Sexy (with Future & Young Thug),Future,0.803,0.597,11.0,-6.035,0.0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0
81,Way 2 Sexy (with Future & Young Thug),Young Thug,0.803,0.597,11.0,-6.035,0.0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0
82,Hold On,Justin Bieber,0.658,0.634,1.0,-5.797,0.0,0.0413,0.0106,0.0,0.132,0.29,139.98,spotify:track:4u4NyuceXP7Uzh7XFJKCr1,170813.0,4.0
83,positions,Ariana Grande,0.736,0.802,0.0,-4.759,1.0,0.0864,0.468,0.0,0.094,0.675,144.005,spotify:track:7igeByaBM0MgGsgXtNxDJ7,172325.0,4.0
84,Watermelon Sugar,Harry Styles,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,spotify:track:6UelLqGlWMcVH1E5c4H7lY,174000.0,4.0
85,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,spotify:track:6fRxMU4LWwyaSSowV441IU,227395.0,4.0
86,Beautiful Mistakes (feat. Megan Thee Stallion),Megan Thee Stallion,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,spotify:track:6fRxMU4LWwyaSSowV441IU,227395.0,4.0
87,Don't Start Now,Dua Lipa,0.794,0.793,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,183290.0,4.0
88,At My Worst,Pink Sweat$,0.813,0.415,0.0,-5.926,1.0,0.0349,0.777,0.0,0.131,0.667,91.921,spotify:track:2MJz8BxxMsERULatmBikDH,170345.0,4.0
89,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,0.857,0.621,9.0,-6.376,0.0,0.0825,0.148,0.0,0.0865,0.668,97.989,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0
90,South of the Border (feat. Camila Cabello & Cardi B),Camila Cabello,0.857,0.621,9.0,-6.376,0.0,0.0825,0.148,0.0,0.0865,0.668,97.989,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0
91,South of the Border (feat. Camila Cabello & Cardi B),Cardi B,0.857,0.621,9.0,-6.376,0.0,0.0825,0.148,0.0,0.0865,0.668,97.989,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0
92,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,spotify:track:37BZB0z9T8Xu7U3e65qxFy,191014.0,4.0
93,Save Your Tears (with Ariana Grande) (Remix),Ariana Grande,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,spotify:track:37BZB0z9T8Xu7U3e65qxFy,191014.0,4.0
94,willow,Taylor Swift,0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,spotify:track:0lx2cLdOt3piJbcaXIV74f,214707.0,4.0
95,Levitating (feat. DaBaby),Dua Lipa,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,spotify:track:5nujrmhLynf4yMoMtj8AQF,203064.0,4.0
96,Levitating (feat. DaBaby),DaBaby,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,spotify:track:5nujrmhLynf4yMoMtj8AQF,203064.0,4.0
97,Anyone,Justin Bieber,0.686,0.538,2.0,-8.026,1.0,0.0345,0.181,3.13e-06,0.113,0.584,115.884,spotify:track:31qCy5ZaophVA81wtlwLc4,190779.0,4.0
