,artist,title
175,taylor swift featuring ed sheeran,run (taylor's version) (from the vault)
176,taylor swift,run (taylor's version) (from the vault) [feat. ed sheeran]
177,taylor swift,sad beautiful tragic (taylor's version)
178,amaarae & moliy featuring kali uchis,sad girlz luv money
179,amaarae &  kali uchis,sad girlz luv money remix (feat. moliy)
180,zac brown band,same boat
181,morgan wallen,sand in my boots
182,ariana grande,santa tell me
183,rich rowe,santa's gotta dirty job
184,the weeknd & ariana grande,save your tears
185,casting crowns,scars in heaven
186,meek mill featuring lil baby & lil durk,sharing locations
187,meek mill,sharing locations (feat. lil baby & lil durk)
188,ed sheeran,shivers
189,yuuri,shutter
190,the band mcmillan,single bells
191,silk sonic (bruno mars & anderson .paak),skate
192,rob thomas,small town christmas
193,"bruno mars,  anderson .paak, &  silk sonic",smokin out the window
194,silk sonic (bruno mars & anderson .paak),smokin out the window
195,"bruno mars, anderson .paak & silk sonic",smokin out the window
196,the band mcmillan,somebody's got to
197,taylor swift,starlight (taylor's version)
198,taylor swift,state of grace (taylor's version)
199,the kid laroi & justin bieber,stay
200,the kid laroi &  justin bieber,stay
201,taylor swift,stay stay stay (taylor's version)
202,adele,strangers by nature
203,carrie underwood,stretchy pants
204,back number,suiheisen
205,kodak black,super gremlin
206,the weeknd,take my breath
207,chris stapleton,tennessee whiskey
208,jon pardi,tequila little time
209,lil nas x,thats what i want
210,twice,the feels
211,taylor swift featuring gary lightbody of snow patrol,the last time (taylor's version)
212,taylor swift,the lucky one (taylor's version)
213,taylor swift,the moment i knew (taylor's version)
214,ben rector,the thanksgiving song
215,adam sandler,the thanksgiving song
216,taylor swift,the very first night (taylor's version) (from the vault)
217,dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
218,dustin lynch,thinking 'bout you (feat. mackenzie porter)
219,summer walker,throw it away
220,adele,to be loved
221,gunna &  future,too easy
222,summer walker,toxic (feat. lil durk)
223,olivia rodrigo,traitor
224,taylor swift,treacherous (taylor's version)
225,walker hayes,u gurl
226,summer walker &  ari lennox,unloyal
227,drake,wants and needs (feat. lil baby)
228,drake featuring future & young thug,way 2 sexy
229,drake,way 2 sexy (feat. future & young thug)
230,taylor swift,we are never ever getting back together (taylor's version)
231,michael ray,whiskey and rain
232,bing crosby,white christmas
233,"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
234,nardo wick,"who want smoke?? (feat. g herbo, lil durk & 21 savage)"
235,normani featuring cardi b,wild side
236,trans-siberian orchestra,wizards in winter (instrumental)
237,doja cat,woman
238,adele,woman like me
239,summer walker,you don’t know me
240,doja cat &  the weeknd,you right
241,doja cat & the weeknd,you right
242,chris stapleton,you should probably leave
243,moreart,я буду ебать (feat. ihi)
